Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Track,Year
0 days 01:07:50.105000,NOR,4,0 days 00:01:24.794000,4,1,,,0 days 00:00:30.587000,0 days 00:00:30.496000,0 days 00:00:23.711000,0 days 01:06:55.898000,0 days 01:07:26.394000,0 days 01:07:50.105000,,236,244,289,TRUE,MEDIUM,4,TRUE,McLaren,0 days 01:06:25.311000,07:27.3,1,3,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:29:21.169000,NOR,4,0 days 00:01:23.543000,19,2,,,0 days 00:00:30.002000,0 days 00:00:29.881000,0 days 00:00:23.660000,0 days 01:28:27.628000,0 days 01:28:57.509000,0 days 01:29:21.169000,,238,243,288,TRUE,HARD,2,TRUE,McLaren,0 days 01:27:57.626000,28:59.7,1,4,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:32:08.609000,NOR,4,0 days 00:01:23.499000,21,2,,,0 days 00:00:30.296000,0 days 00:00:29.839000,0 days 00:00:23.364000,0 days 01:31:15.406000,0 days 01:31:45.245000,0 days 01:32:08.609000,,237,245,,TRUE,HARD,4,TRUE,McLaren,0 days 01:30:45.110000,31:47.1,1,3,FALSE,,FALSE,TRUE,Hungary,2023
0 days 02:07:31.712000,NOR,4,0 days 00:01:22.216000,46,3,,,0 days 00:00:29.886000,0 days 00:00:29.286000,0 days 00:00:23.044000,0 days 02:06:39.382000,0 days 02:07:08.668000,0 days 02:07:31.712000,281,241,248,291,TRUE,MEDIUM,5,FALSE,McLaren,0 days 02:06:09.496000,07:11.5,1,3,FALSE,,FALSE,TRUE,Hungary,2023
0 days 02:13:01.807000,NOR,4,0 days 00:01:22.178000,50,3,,,0 days 00:00:29.674000,0 days 00:00:29.303000,0 days 00:00:23.201000,0 days 02:12:09.303000,0 days 02:12:38.606000,0 days 02:13:01.807000,283,245,249,305,TRUE,MEDIUM,9,FALSE,McLaren,0 days 02:11:39.629000,12:41.7,1,2,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:05:04.208000,PER,11,0 days 00:01:26.770000,2,1,,,0 days 00:00:30.959000,0 days 00:00:31.640000,0 days 00:00:24.171000,0 days 01:04:08.397000,0 days 01:04:40.037000,0 days 01:05:04.208000,267,233,250,292,TRUE,HARD,5,FALSE,Red Bull Racing,0 days 01:03:37.438000,04:39.5,1,8,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:06:30.478000,PER,11,0 days 00:01:26.270000,3,1,,,0 days 00:00:30.816000,0 days 00:00:31.422000,0 days 00:00:24.032000,0 days 01:05:35.024000,0 days 01:06:06.446000,0 days 01:06:30.478000,275,233,251,296,TRUE,HARD,6,FALSE,Red Bull Racing,0 days 01:05:04.208000,06:06.2,1,8,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:07:56.180000,PER,11,0 days 00:01:25.702000,4,1,,,0 days 00:00:30.415000,0 days 00:00:31.289000,0 days 00:00:23.998000,0 days 01:07:00.893000,0 days 01:07:32.182000,0 days 01:07:56.180000,276,234,252,307,TRUE,HARD,7,FALSE,Red Bull Racing,0 days 01:06:30.478000,07:32.5,1,8,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:12:13.107000,PER,11,0 days 00:01:25.445000,7,1,,,0 days 00:00:30.413000,0 days 00:00:31.022000,0 days 00:00:24.010000,0 days 01:11:18.075000,0 days 01:11:49.097000,0 days 01:12:13.107000,272,233,251,306,TRUE,HARD,10,FALSE,Red Bull Racing,0 days 01:10:47.662000,11:49.7,1,8,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:13:37.943000,PER,11,0 days 00:01:24.836000,8,1,,,0 days 00:00:30.241000,0 days 00:00:30.581000,0 days 00:00:24.014000,0 days 01:12:43.348000,0 days 01:13:13.929000,0 days 01:13:37.943000,281,233,243,307,TRUE,HARD,11,FALSE,Red Bull Racing,0 days 01:12:13.107000,13:15.1,1,7,FALSE,,FALSE,TRUE,Hungary,2023
